qb_title,qb_name,qb_email,qb_category,qb_phone,qb_tel,qb_date,qb_path,m_no
예약확인,김서울,aa@dfd.xo,2,010-1234-1230,02-121-1111,2019-11-05 17:15,,2
결제 되었나요?,김서울,aa@dfd.xo,1,010-1234-1230,02-121-1111,2019-11-01 12:26,,2
제일 큰방은 어디인가요?,김서울,aa@dfd.xo,3,010-1234-1230,02-121-1111,2019-11-05 17:20,,2
놀이시설있나요?,김서울,aa@dfd.xo,4,010-1234-1230,02-121-1111,2019-11-03 12:26,,2
전화번호 어디서 바꾸나요,김서울,aa@dfd.xo,5,010-1234-1230,02-121-1111,2019-11-05 17:28,,2
몇층까지 있나요,홍길동,aa@dd.com,1,010-1111-1234,02-111-1111,2019-10-30 12:26,,1
예약취소하고 싶은데요,홍길동,aa@dd.com,2,010-1111-1234,02-111-1111,2019-11-07 12:26,,1
결제문의합니다,김믜믜,mlml@ml.ml,1,010-4568-7415,02--,2019-11-01 12:26,,4
당일예약 가능한가요?,김서울,aa@dfd.xo,2,010-1234-1230,02-121-1111,2019-11-05 17:28,,2
결제 확인 어떻게 하나요?,김서울,aa@dfd.xo,1,010-1234-1230,02-121-1111,2019-11-05 17:28,,2
빈방 얼마나 있나요?,홍길동,aa@dd.com,3,010-1111-1234,02-111-1111,2019-11-04 12:26,,1
한달도 숙박 가능한가요?,김서울,aa@dfd.xo,2,010-1234-1230,02-121-1111,2019-11-04 12:26,,2
1세 아기도 숙박비 내야하나요?,김믜믜,mlml@ml.ml,5,010-4568-7415,02--,2019-11-03 12:26,,4
주변에 관광할만한곳 많나요?,홍길동,aa@dd.com,5,010-1111-1234,02-111-1111,2019-11-01 12:26,,1
예약 취소하고 싶어요,김서울,aa@dfd.xo,2,010-1234-1230,02-121-1111,2019-11-05 17:28,,2
결제 취소할 수 있나요?,김믜믜,mlml@ml.ml,1,010-4568-7415,02--,2019-10-30 12:26,,4
예약 변경 가능한가요?,홍길동,aa@dd.com,2,010-1111-1234,02-111-1111,2019-11-04 12:26,,1
예약했는데 방 바꾸고 싶어요,김서울,aa@dfd.xo,2,010-1234-1230,02-121-1111,2019-11-05 17:28,,2
문의합니다,김믜믜,mlml@ml.ml,5,010-4568-7415,02--,2019-11-03 12:26,,4
객실 문의,홍길동,aa@dd.com,3,010-1111-1234,02-111-1111,2019-10-30 12:26,,1
결제 문의,김서울,aa@dfd.xo,1,010-1234-1230,02-121-1111,2019-11-05 17:28,,2
시설문의,홍길동,aa@dd.com,4,010-1111-1234,02-111-1111,2019-11-02 12:26,,1
조식 문의,김서울,aa@dfd.xo,4,010-1234-1230,02-121-1111,2019-11-05 17:28,,2
